soil_moisture,air_temperature,air_humidity,irrigation_action
19.39,27.4,90.1,0
10.76,25.2,95.0,1
10.76,25.2,95.0,1
11.19,25.3,95.0,0
10.76,25.3,95.0,1
11.19,25.3,95.0,0
10.55,25.3,95.0,1
10.55,25.2,95.0,1
10.97,25.2,95.0,1
10.97,25.2,95.0,1
10.55,25.2,95.0,1
11.62,28.6,83.8,1
11.19,28.6,82.6,1
11.19,28.7,82.3,1
11.84,28.7,82.8,1
11.19,28.7,81.6,1
11.41,28.8,82.0,1
12.27,28.7,82.8,0
10.97,28.6,83.2,1
12.7,28.5,82.6,0
11.84,28.6,80.5,1
11.19,28.7,79.1,1
12.91,28.8,77.4,0
11.41,28.8,79.5,1
11.41,30.0,62.7,1
11.41,30.0,62.5,1
12.7,30.0,63.2,0
11.41,30.0,62.2,1
11.41,30.0,61.7,1
12.7,30.0,62.0,0
11.62,30.0,62.2,1
11.62,29.9,63.5,1
12.27,29.9,64.0,0
12.05,29.9,65.7,0
11.62,29.9,65.5,1
10.97,29.9,65.2,1
11.62,29.9,66.3,1
10.0,28.9,83.7,1
10.0,27.6,96.0,1
10.0,27.6,87.8,1
10.0,27.6,96.5,1
10.0,27.5,93.0,1
10.0,29.0,86.9,1
10.0,29.0,86.9,1
10.0,29.0,86.7,1
10.0,28.9,86.0,1
10.0,28.9,86.3,1
10.0,28.9,85.8,1
10.0,28.9,86.0,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
12.05,28.3,88.7,0
12.27,28.3,87.2,0
11.62,28.3,88.4,0
11.62,28.3,88.4,0
11.62,28.3,88.4,0
11.62,28.3,88.4,0
11.62,28.3,88.4,0
11.62,28.3,88.4,0
10.0,27.6,89.0,1
10.0,27.6,96.5,1
10.0,27.5,93.0,1
10.0,29.0,86.9,1
10.0,29.0,86.9,1
10.0,29.0,86.7,1
10.0,28.9,86.0,1
10.0,28.9,86.3,1
10.0,28.9,85.8,1
10.0,28.9,86.0,1
10.0,28.9,85.8,1
10.0,28.9,85.8,1
37.2,25.68,89.26,0
43.94,25.63,65.63,0
34.44,23.93,91.66,0
10.0,27.04,70.05,1
42.39,31.49,70.82,0
10.0,25.95,92.44,1
10.0,19.22,63.25,1
26.42,18.28,91.65,0
10.0,30.18,80.78,1
22.01,24.46,81.11,0
10.0,19.66,68.34,1
17.45,26.96,77.86,0
10.0,20.01,70.21,1
20.41,25.31,90.79,0
10.0,23.81,65.45,1
12.33,28.84,73.51,0
21.43,25.96,67.37,0
24.45,26.64,78.93,0
10.0,31.21,64.39,1
10.0,27.77,82.14,1
10.0,24.14,63.64,1
26.25,21.42,69.75,0
10.0,20.23,60.18,1
23.15,20.75,69.33,0
23.74,31.67,94.54,0
36.55,24.56,71.46,0
37.39,28.35,63.67,0
10.0,19.68,64.31,1
33.4,22.15,88.64,0
13.26,19.66,77.41,0
10.0,18.9,87.76,1
31.54,25.33,93.74,0
10.0,22.46,83.01,1
16.49,27.34,66.93,0
19.89,19.85,64.27,0
10.0,26.21,70.56,1
10.19,29.61,76.02,1
10.0,18.07,90.3,1
10.0,21.78,89.62,1
10.0,28.29,68.0,1
18.92,21.48,92.15,0
10.0,26.01,74.02,1
13.41,31.34,93.94,0
35.1,29.85,63.77,0
19.89,29.39,86.33,0
25.12,23.55,93.25,0
24.05,30.34,88.6,0
33.74,26.14,92.58,0
10.0,25.02,62.44,1
10.0,27.24,71.58,1
24.95,24.0,71.61,0
10.0,19.9,72.01,1
10.0,26.27,62.58,1
10.0,27.14,73.9,1
10.0,27.13,82.15,1
31.15,23.15,86.63,0
43.49,24.1,62.37,0
22.0,27.85,92.99,0
12.6,30.87,64.33,0
43.41,28.0,80.16,0
10.0,26.62,84.33,1
23.52,19.73,75.33,0
14.53,29.87,73.05,0
10.0,29.3,92.75,1
13.45,25.97,71.62,0
14.55,29.98,72.91,0
10.0,18.16,76.59,1
10.0,23.04,75.0,1
32.2,28.22,64.08,0
39.69,20.4,68.67,0
18.45,25.29,85.98,0
20.16,27.86,93.84,0
31.29,20.31,92.25,0
10.0,26.7,60.27,1
18.86,25.5,65.38,0
10.0,26.26,75.56,1
39.14,28.22,77.33,0
10.0,20.94,70.54,1
33.94,20.61,89.82,0
44.9,28.35,88.93,0
35.58,21.56,77.25,0
10.0,18.81,67.17,1
16.14,24.08,88.35,0
32.97,20.51,93.55,0
10.0,24.35,83.26,1
10.0,30.55,64.76,1
23.86,31.86,76.98,0
37.45,18.29,90.37,0
10.0,28.62,71.81,1
20.01,22.48,90.65,0
40.34,26.24,68.33,0
44.76,29.63,91.56,0
10.0,26.81,77.8,1
43.86,21.83,61.33,0
10.0,29.17,64.49,1
12.2,31.34,91.68,0
10.0,27.62,64.72,1
31.08,31.26,72.29,0
10.0,21.56,72.78,1
41.42,20.99,69.37,0
10.0,25.25,63.28,1
13.67,18.36,69.82,0
11.83,20.9,76.5,1
25.29,23.24,75.84,0
40.09,21.89,78.96,0
10.0,19.65,84.11,1
10.0,25.24,68.2,1
10.0,19.85,84.45,1
10.0,28.04,77.63,1
15.03,23.54,60.9,0
18.08,20.03,62.89,0
36.29,24.83,76.63,0
10.0,31.17,90.79,1
10.0,28.48,92.96,1
42.7,19.17,71.33,0
10.0,26.18,84.41,1
10.0,22.09,82.04,1
10.0,21.37,87.25,1
18.47,31.01,65.81,0
18.34,27.38,88.99,0
10.0,31.68,70.78,1
10.0,31.46,62.46,1
42.94,21.24,77.53,0
10.0,29.19,70.5,1
38.04,26.83,93.47,0
10.0,26.65,93.35,1
10.0,26.95,84.18,1
10.0,19.92,67.69,1
10.0,21.14,62.09,1
35.46,19.37,70.58,0
10.0,19.14,79.6,1
10.0,21.25,75.61,1
29.1,28.16,69.07,0
23.18,20.06,92.79,0
12.83,19.11,87.09,0
32.36,19.25,74.2,0
29.0,27.41,80.76,0
10.0,21.44,86.13,1
44.45,28.18,85.77,0
32.54,19.84,71.08,0
17.25,27.74,74.3,0
10.0,21.97,63.11,1
35.85,23.32,79.27,0
43.92,27.76,73.4,0
10.0,28.9,61.37,1
10.0,21.63,74.86,1
41.35,23.23,90.16,0
12.66,26.23,87.97,0
10.0,23.19,89.37,1
35.62,24.44,71.97,0
16.5,22.3,77.26,0
31.24,31.43,87.78,0
10.0,27.04,83.26,1
32.59,24.03,88.08,0
22.35,25.14,69.62,0
10.0,25.51,87.62,1
10.0,27.54,84.24,1
18.96,21.89,73.98,0
28.67,19.8,62.69,0
33.55,31.39,87.9,0
31.31,25.61,84.29,0
10.0,24.4,76.7,1
10.0,30.35,79.97,1
35.38,24.42,81.38,0
38.32,28.14,93.91,0
32.97,23.59,65.66,0
10.0,27.66,84.84,1
10.0,27.79,68.4,1
16.68,22.59,90.5,0
20.88,20.25,80.85,0
10.0,29.15,88.88,1
24.94,24.41,92.11,0
10.0,30.01,62.15,1
11.35,24.4,80.04,1
35.79,26.06,67.08,0
10.0,23.58,73.27,1
10.0,18.88,86.16,1
33.47,21.62,65.7,0
10.04,22.98,93.91,1
10.0,18.23,62.82,1
10.0,23.62,65.68,1
14.03,19.39,90.87,0
21.99,30.17,71.15,0
10.0,24.36,89.48,1
43.58,21.26,81.19,0
10.0,18.46,80.15,1
10.0,24.0,81.66,1
10.0,18.95,68.53,1
16.07,21.1,74.45,0
10.0,21.54,84.7,1
10.0,19.83,81.75,1
10.0,18.17,93.77,1
19.64,31.86,63.26,0
14.74,31.85,74.0,0
10.0,28.97,88.32,1
12.7,21.38,80.85,0
10.0,27.28,66.09,1
27.11,27.32,66.06,0
15.3,25.24,76.18,0
42.37,23.94,73.89,0
22.31,27.89,64.76,0
22.39,23.05,68.39,0
20.4,30.95,85.09,0
44.85,29.41,62.77,0
17.84,31.8,60.64,0
10.0,22.15,80.81,1
19.79,31.31,93.28,0
31.42,21.27,82.19,0
33.34,18.82,81.07,0
10.0,28.23,90.3,1
10.0,30.34,73.58,1
23.15,21.81,87.84,0
36.64,23.31,82.83,0
33.03,23.24,70.66,0
15.19,21.33,67.35,0
38.78,20.41,84.5,0
13.14,29.75,75.2,0
33.0,21.33,83.14,0
10.0,25.03,64.45,1
10.0,31.2,75.13,1
27.42,30.14,78.99,0
16.81,31.92,61.24,0
10.0,18.99,91.38,1
10.0,22.1,69.71,1
10.0,20.13,66.03,1
10.0,26.46,73.12,1
10.0,23.36,85.52,1
10.33,25.66,73.92,1
19.88,21.85,87.56,0
10.0,26.29,91.88,1
17.24,25.73,93.55,0
22.67,28.51,65.45,0
13.26,22.67,76.68,0
10.0,30.07,92.68,1
29.62,18.68,60.32,0
41.64,19.46,94.45,0
10.0,22.88,74.59,1
10.0,28.36,94.07,1
29.94,27.95,71.07,0
34.34,20.87,85.57,0
41.08,22.78,66.99,0
10.0,25.61,93.95,1
10.0,21.96,94.55,1
10.0,18.42,66.48,1
10.0,27.94,93.45,1
39.51,25.43,93.04,0
33.39,18.34,77.29,0
31.7,21.91,87.11,0
10.0,19.62,82.69,1
10.0,27.41,60.06,1
22.7,18.04,72.73,0
34.54,27.06,62.14,0
32.79,27.75,84.72,0
22.45,29.39,91.05,0
19.45,22.68,60.07,0
29.92,29.07,69.99,0
42.54,19.36,88.5,0
29.39,23.74,82.83,0
44.89,26.73,69.81,0
31.86,26.66,77.54,0
10.0,19.87,92.31,1
10.0,25.04,83.89,1
10.0,30.91,86.89,1
25.45,25.58,71.23,0
15.23,31.56,65.61,0
10.0,31.33,76.93,1
11.37,22.2,65.8,1
10.0,24.25,74.11,1
26.01,30.71,75.09,0
10.0,20.24,91.03,1
28.45,21.46,71.29,0
17.11,18.55,84.2,0
10.0,30.71,91.38,1
41.05,30.57,79.68,0
43.62,22.26,94.73,0
14.7,31.97,89.14,0
34.56,23.07,72.82,0
10.0,24.59,63.34,1
10.0,23.3,93.83,1
34.47,31.71,73.64,0
20.34,22.59,71.07,0
10.0,21.98,72.3,1
10.0,23.15,66.12,1
12.01,31.59,63.53,0
15.61,22.81,69.41,0
14.46,27.23,70.69,0
10.0,28.1,95.0,1
13.05,29.38,71.77,0
15.04,31.67,86.79,0
31.2,28.7,73.07,0
42.76,27.78,84.78,0
10.0,22.7,62.65,1
16.85,20.07,91.34,0
16.68,24.05,78.99,0
10.0,28.82,82.72,1
10.0,31.42,79.41,1
36.61,19.64,85.1,0
10.0,19.5,72.39,1
10.0,26.26,79.11,1
29.55,31.77,78.97,0
10.0,27.19,81.26,1
10.0,30.07,92.96,1
10.0,19.36,69.18,1
10.0,24.59,88.4,1
10.0,19.62,87.58,1
31.82,31.72,94.15,0
14.61,23.93,77.42,0
36.04,23.65,75.3,0
10.0,27.4,60.72,1
10.0,22.83,70.68,1
33.58,27.99,90.11,0
25.52,23.59,86.13,0
10.0,24.04,60.81,1
34.84,26.6,60.94,0
17.64,18.98,70.9,0
10.0,29.51,76.61,1
37.35,27.15,91.84,0
31.41,28.17,73.46,0
10.0,19.55,79.99,1
34.88,23.67,92.01,0
30.29,23.68,85.85,0
10.0,28.32,64.4,1
10.0,27.85,93.42,1
38.6,30.14,83.97,0
12.34,25.49,85.31,0
11.46,23.66,73.31,1
30.02,25.34,90.18,0
40.79,29.8,83.39,0
10.0,21.12,66.55,1
10.89,19.13,70.53,1
19.21,21.1,76.13,0
10.0,19.4,67.89,1
10.0,18.93,60.1,1
15.59,28.83,89.21,0
10.0,20.15,60.17,1
42.39,24.06,92.22,0
10.0,22.89,77.62,1
35.84,28.94,74.25,0
10.0,30.98,92.46,1
39.32,18.41,87.61,0
18.96,30.3,88.87,0
10.0,31.82,76.28,1
24.28,28.63,77.28,0
10.0,23.27,69.06,1
14.65,21.65,68.53,0
10.0,21.88,74.95,1
35.69,25.34,60.48,0
10.29,20.24,64.64,1
10.0,18.05,92.83,1
10.0,20.5,87.07,1
22.93,26.58,71.6,0
38.05,30.35,73.22,0
10.0,28.07,67.11,1
10.0,31.53,85.19,1
27.26,21.74,76.19,0
10.0,21.47,82.15,1
44.81,30.33,68.28,0
44.86,23.27,77.02,0
10.96,31.53,94.73,1
10.0,21.03,65.41,1
41.32,22.12,89.26,0
12.1,24.92,84.95,0
21.45,28.89,79.82,0
36.25,19.95,85.13,0
25.37,23.98,84.72,0
19.31,29.8,64.05,0
10.0,23.95,65.53,1
40.8,25.96,66.74,0
11.61,21.45,89.84,0
36.59,23.72,64.95,0
10.0,23.28,64.72,1
10.0,29.33,87.83,1
24.95,27.93,72.92,0
11.42,22.93,69.75,1
10.0,30.57,71.37,1
10.0,28.78,71.92,1
17.64,26.7,68.41,0
12.59,22.04,71.39,0
36.35,30.24,87.17,0
32.19,21.02,68.75,0
22.49,30.02,93.55,0
10.0,26.48,81.59,1
15.23,28.19,63.48,0
10.0,26.92,88.85,1
10.0,29.37,83.3,1
10.0,22.1,90.68,1
14.35,20.42,66.69,0
10.0,24.62,82.68,1
20.79,30.35,60.61,0
35.06,23.74,79.84,0
10.0,28.32,68.41,1
22.99,27.95,93.71,0
21.12,20.48,94.08,0
11.21,24.77,75.58,1
34.16,19.96,69.01,0
17.36,23.03,93.55,0
11.2,31.12,88.63,0
43.41,21.96,76.16,0
34.26,26.4,87.28,0
10.0,20.6,65.85,1
10.0,25.46,68.47,1
29.85,22.57,67.03,0
15.54,24.26,60.66,0
10.0,28.19,69.41,1
39.0,26.09,89.06,0
19.94,28.91,66.93,0
25.26,22.82,61.99,0
10.0,30.12,67.75,1
31.08,24.18,84.66,0
30.85,24.28,80.19,0
30.81,26.7,75.72,0
12.39,24.97,90.36,0
12.45,30.14,70.59,0
40.11,29.35,72.62,0
44.28,30.86,72.09,0
10.0,20.46,87.17,1
10.0,19.62,87.22,1
37.41,18.8,71.98,0
41.44,19.35,93.08,0
10.0,30.09,91.44,1
10.0,25.93,74.81,1
14.08,23.15,63.35,0
28.56,22.4,91.65,0
10.0,27.2,70.32,1
27.99,25.24,70.81,0
37.28,24.79,81.95,0
15.16,29.58,65.07,0
15.95,28.16,77.13,0
10.0,30.64,73.4,1
23.2,18.6,73.72,0
10.0,22.66,60.06,1
10.0,22.17,76.47,1
20.31,21.18,62.98,0
20.55,18.96,63.08,0
31.62,28.06,92.53,0
25.17,28.19,68.7,0
41.55,20.27,73.11,0
16.59,22.84,84.86,0
15.15,24.72,74.76,0
10.0,30.45,61.5,1
39.71,26.72,88.3,0
29.12,22.51,83.54,0
10.0,22.43,81.18,1
13.3,24.76,82.44,0
25.8,28.22,81.71,0
23.11,20.47,76.63,0
10.0,31.15,74.05,1
25.14,25.09,67.32,0
21.91,22.26,63.27,0
16.13,30.9,68.73,0
37.13,29.27,67.96,0
24.16,28.14,72.26,0
39.74,30.91,85.6,0
10.0,29.68,80.78,1
32.84,22.52,74.7,0
27.49,25.21,71.75,0
10.61,31.14,83.79,1
19.26,27.48,73.78,0
10.0,18.14,88.57,1
40.66,24.66,66.54,0
10.0,18.62,69.7,1
16.38,25.28,92.56,0
10.0,18.43,80.83,1
25.98,21.14,91.17,0
10.0,31.35,70.73,1
29.1,19.5,92.96,0
10.0,24.39,91.64,1
10.0,24.85,94.85,1
10.0,26.24,68.0,1
18.14,21.3,71.99,0
43.62,26.69,94.27,0
23.05,28.9,80.08,0
35.95,29.88,70.3,0
12.44,24.87,66.91,0
30.44,20.59,78.48,0
10.0,31.94,83.5,1
16.27,31.21,75.26,0
41.54,31.51,67.29,0
10.0,28.07,79.35,1
10.0,22.9,69.66,1
26.17,21.56,78.73,0
37.71,19.99,81.36,0
10.0,18.34,93.48,1
23.39,24.02,73.8,0
37.9,24.65,90.15,0
26.62,18.19,91.89,0
34.38,21.59,86.34,0
10.0,21.26,89.24,1
16.1,22.35,76.29,0
10.0,29.08,62.3,1
11.37,25.81,94.8,0
10.0,25.16,62.32,1
10.0,19.17,70.41,1
10.0,31.52,94.85,1
34.56,20.13,78.19,0
37.35,18.01,88.18,0
30.25,21.9,66.06,0
25.01,20.6,67.69,0
13.1,27.68,90.37,0
16.99,26.95,61.82,0
10.0,23.57,78.9,1
43.28,19.97,69.74,0
13.0,30.06,66.74,0
23.55,25.34,78.38,0
28.21,22.96,74.57,0
12.03,19.68,63.69,0
10.0,30.39,65.43,1
10.0,31.54,70.39,1
34.81,25.73,66.4,0
13.35,22.14,90.73,0
30.0,31.79,79.49,0
25.46,28.97,68.23,0
10.0,18.93,87.36,1
33.16,24.61,67.41,0
28.18,23.93,67.46,0
10.0,24.18,60.0,1
11.29,21.68,90.81,0
10.0,30.69,77.37,1
32.45,29.43,75.09,0
13.35,31.47,70.84,0
10.0,19.55,81.3,1
33.04,26.83,86.7,0
32.59,26.45,65.52,0
16.04,19.79,80.41,0
10.0,26.16,90.89,1
10.41,18.03,67.63,1
10.0,20.78,67.97,1
17.75,31.39,86.2,0
27.81,22.63,88.42,0
10.0,26.94,68.68,1
38.22,21.93,71.6,0
10.0,31.27,82.11,1
34.73,22.62,81.84,0
10.0,23.49,89.61,1
35.3,21.1,90.23,0
10.0,19.43,81.44,1
44.85,23.56,75.74,0
23.76,22.9,62.23,0
10.0,18.34,89.73,1
27.4,21.23,83.64,0
37.86,29.2,69.17,0
10.0,31.38,65.71,1
10.0,29.58,69.81,1
29.29,19.46,79.68,0
26.62,20.18,72.17,0
10.0,23.96,71.56,1
10.0,19.45,81.03,1
10.0,26.27,86.91,1
10.0,24.1,63.17,1
10.0,29.18,71.37,1
10.0,30.93,83.42,1
10.0,24.81,75.38,1
10.0,26.23,70.82,1
10.0,21.69,76.23,1
13.39,30.96,65.33,0
10.0,27.31,60.54,1
10.0,27.9,64.02,1
10.0,30.14,78.07,1
31.44,29.43,84.53,0
26.27,25.85,74.92,0
10.0,22.01,71.27,1
41.39,22.32,68.28,0
13.64,31.19,73.16,0
40.94,30.44,75.09,0
42.56,22.82,61.35,0
10.0,19.38,74.51,1
10.0,29.43,77.12,1
17.38,26.78,71.09,0
43.51,25.03,65.34,0
18.8,20.08,64.98,0
10.0,25.95,78.9,1
10.0,31.76,66.12,1
10.0,31.14,76.01,1
20.01,21.42,64.64,0
30.54,28.6,94.77,0
25.57,20.85,69.6,0
10.0,18.07,85.65,1
10.0,23.95,78.16,1
44.98,27.3,64.21,0
22.58,23.62,66.15,0
24.16,19.2,75.13,0
10.0,21.89,79.53,1
10.0,20.37,62.67,1
10.0,20.12,77.89,1
10.0,29.28,61.0,1
44.81,26.21,62.08,0
25.75,25.17,62.16,0
22.54,29.03,66.57,0
41.92,25.77,74.16,0
10.0,31.38,72.24,1
10.0,26.38,75.22,1
11.08,19.66,89.05,0
15.69,23.85,92.65,0
10.0,28.94,70.79,1
10.0,27.71,70.24,1
10.0,21.63,64.81,1
44.41,28.61,72.24,0
10.0,24.44,61.86,1
33.17,26.03,73.27,0
37.18,31.37,64.0,0
10.0,26.94,67.25,1
38.7,24.02,93.16,0
19.56,28.47,90.59,0
10.0,22.21,68.68,1
42.21,19.43,69.41,0
37.09,22.09,94.24,0
10.0,22.48,70.63,1
12.52,29.83,62.75,0
10.0,23.36,81.9,1
36.58,31.94,85.85,0
35.8,29.14,90.61,0
17.5,31.13,93.39,0
31.19,26.7,65.75,0
10.0,19.37,68.86,1
10.0,28.77,74.93,1
24.84,27.97,69.37,0
14.72,20.34,91.17,0
10.0,30.36,87.95,1
16.27,31.53,93.64,0
12.34,31.92,79.89,0
10.0,18.52,69.34,1
10.0,30.13,91.6,1
26.45,18.91,92.71,0
12.89,30.79,61.46,0
42.22,25.81,84.42,0
41.46,31.75,83.27,0
10.0,25.39,79.62,1
19.04,21.33,80.38,0
10.0,25.45,76.52,1
10.0,27.84,60.4,1
10.0,27.72,81.85,1
10.0,28.94,94.75,1
15.54,23.24,64.21,0
24.69,23.79,88.75,0
31.39,22.14,62.93,0
16.01,22.98,67.98,0
42.19,19.05,82.5,0
22.84,23.2,63.64,0
10.0,28.73,67.55,1
10.0,27.91,87.62,1
39.95,25.68,64.06,0
12.99,25.61,81.14,0
19.44,28.35,89.29,0
10.0,29.11,87.09,1
10.0,18.51,85.78,1
22.62,20.06,89.54,0
10.0,25.23,79.47,1
10.0,21.08,85.1,1
26.72,25.03,84.91,0
10.0,27.04,64.52,1
21.5,22.83,85.28,0
10.0,22.46,68.29,1
10.0,20.35,89.84,1
14.41,31.52,66.16,0
44.55,26.64,90.84,0
10.0,31.8,71.15,1
10.0,24.82,74.49,1
36.42,25.52,91.47,0
10.0,20.94,70.36,1
35.36,27.6,77.49,0
22.8,19.88,68.03,0
43.44,31.97,90.04,0
17.38,23.55,84.78,0
10.0,23.72,79.78,1
10.0,24.91,93.69,1
11.02,27.2,66.69,1
35.55,31.09,92.63,0
10.0,23.56,74.35,1
28.04,21.99,78.27,0
10.0,30.71,82.18,1
10.0,27.93,73.95,1
10.0,26.61,89.88,1
14.39,29.7,65.18,0
10.0,30.34,84.98,1
16.84,30.83,78.01,0
10.0,26.51,77.61,1
10.0,25.53,71.4,1
14.83,31.77,68.24,0
37.74,30.63,85.76,0
44.74,24.42,67.47,0
36.71,29.44,88.19,0
13.86,28.77,94.27,0
15.75,27.49,75.44,0
10.0,20.75,65.89,1
22.74,27.4,87.91,0
10.0,29.8,93.69,1
14.75,18.23,78.1,0
10.0,27.0,68.95,1
38.04,30.57,92.08,0
34.7,22.5,71.36,0
20.15,25.21,75.17,0
32.53,19.97,75.23,0
15.55,29.63,92.73,0
10.0,18.53,66.67,1
25.86,31.39,79.74,0
37.65,31.5,85.02,0
16.4,29.23,71.66,0
10.0,23.3,69.75,1
43.4,23.03,80.72,0
10.81,19.57,88.67,1
10.0,18.59,93.79,1
20.43,21.19,72.12,0
10.0,29.72,80.41,1
17.59,31.73,60.98,0
21.52,23.67,92.44,0
10.0,27.1,82.26,1
30.5,25.78,91.82,0
37.38,28.38,91.65,0
33.45,28.79,71.48,0
10.0,25.82,81.57,1
38.5,24.0,77.33,0
10.0,30.92,68.07,1
17.03,31.76,62.31,0
10.0,30.26,79.38,1
14.88,24.87,64.93,0
10.0,28.33,82.09,1
10.0,22.35,71.85,1
10.0,19.94,65.05,1
30.04,30.08,89.59,0
10.0,22.88,83.06,1
36.05,29.88,74.71,0
10.17,31.98,72.72,1
12.21,29.86,84.31,0
18.15,23.8,73.97,0
10.0,18.84,93.87,1
10.0,30.88,78.52,1
10.0,31.45,64.63,1
10.0,26.97,61.07,1
41.1,27.64,86.18,0
40.65,18.59,94.41,0
36.22,25.66,62.54,0
16.2,22.76,62.16,0
10.0,18.96,71.01,1
14.65,23.01,60.14,0
34.64,24.09,89.49,0
10.0,26.27,76.4,1
18.61,28.11,94.85,0
10.0,22.61,77.53,1
10.0,28.36,64.56,1
35.85,28.08,87.67,0
41.11,26.21,66.63,0
40.56,18.48,80.77,0
42.69,28.36,69.38,0
10.0,27.99,86.03,1
10.94,30.82,63.97,1
27.25,20.05,90.34,0
16.05,23.76,93.17,0
10.0,31.2,86.92,1
21.33,31.87,94.02,0
22.0,20.78,85.53,0
10.0,19.49,72.83,1
25.43,29.58,75.14,0
33.31,23.84,88.81,0
40.79,23.36,66.62,0
10.0,23.5,85.99,1
