nitrogen,fosfor,kalium,plant_age,fase,ec,soil_moisture,recommendation
91,181,101,64,2,18.87,60.8,10
92,179,100,64,2,18.75,62.2,10
91,179,100,64,2,18.63,62.7,10
90,179,99,64,2,18.73,61.9,10
91,181,99,64,2,18.6,61.8,10
90,181,98,64,2,18.77,61.6,10
91,179,99,64,2,18.7,60.6,10
92,179,99,64,2,18.65,60.8,10
91,181,97,64,2,18.88,61.8,10
91,178,100,64,2,18.85,59.8,10
90,180,99,64,2,18.74,58.6,10
91,180,99,64,2,18.71,59.7,10
91,179,100,64,2,18.73,60.7,10
90,180,99,64,2,18.79,60.7,10
92,180,100,64,2,18.89,61.1,10
91,179,101,64,2,18.98,60.1,10
89,181,99,64,2,18.91,58.9,10
92,180,100,64,2,18.82,59.6,10
91,179,99,64,2,18.81,58.8,10
91,179,101,64,2,18.91,59.7,10
90,179,100,64,2,18.5,59.6,10
90,179,101,64,2,18.43,60.2,10
90,179,101,64,2,18.32,95.0,10
91,181,99,65,2,18.61,95.0,10
93,179,98,65,2,18.52,93.5,10
91,180,99,65,2,18.51,93.4,10
91,181,100,65,2,18.52,92.7,10
90,179,100,65,2,18.52,94.4,10
91,179,100,65,2,18.59,92.3,10
90,180,99,65,2,18.54,94.5,10
91,181,97,65,2,18.61,90.1,10
91,180,97,65,2,18.68,90.2,10
89,181,98,65,2,18.67,91.2,10
89,179,98,65,2,18.59,86.9,10
90,180,99,65,2,18.65,87.2,10
92,179,99,65,2,18.63,88.3,10
91,181,99,65,2,18.69,85.5,10
91,181,98,65,2,18.64,83.9,10
89,178,99,65,2,18.72,82.8,10
91,179,96,65,2,18.77,84.7,10
91,179,99,65,2,18.68,79.1,10
90,179,97,65,2,18.67,81.7,10
91,179,97,65,2,18.71,80.1,10
92,180,98,65,2,18.72,79.5,10
92,180,98,65,2,18.74,77.4,10
90,181,96,65,2,18.86,76.7,10
90,181,98,65,2,18.71,75.1,10
90,180,100,65,2,18.73,73.2,10
88,180,98,65,2,18.9,72.4,10
90,180,98,65,2,18.62,73.0,10
91,181,98,65,2,18.75,70.7,10
91,181,98,65,2,18.86,70.7,10
90,180,96,65,2,18.89,69.6,10
91,181,97,65,2,18.91,70.3,10
88,178,98,65,2,18.74,69.2,10
91,179,97,65,2,18.77,70.4,10
92,180,97,65,2,18.88,69.2,10
89,178,98,65,2,18.81,68.0,10
89,180,98,65,2,18.85,67.6,10
90,179,97,65,2,19.07,67.8,10
90,181,97,65,2,18.92,68.4,10
90,180,98,65,2,18.84,66.7,10
91,180,97,65,2,18.9,64.8,10
91,180,96,65,2,18.84,66.5,10
91,180,97,65,2,18.9,66.8,10
91,179,99,65,2,18.82,64.3,10
91,179,97,65,2,19.08,64.5,10
90,180,97,65,2,18.95,64.6,10
90,181,97,65,2,18.88,63.6,10
91,181,98,65,2,19.01,65.2,10
90,182,98,65,2,19.04,65.2,10
89,179,98,65,2,18.81,62.8,10
91,181,96,65,2,18.91,65.5,10
91,178,96,65,2,18.98,62.0,10
91,180,96,65,2,18.7,64.2,10
90,180,95,65,2,18.73,64.2,10
91,179,96,65,2,18.78,62.4,10
91,182,97,65,2,18.7,94.8,10
89,181,96,65,2,18.74,95.0,10
90,179,97,65,2,18.78,91.0,10
89,181,96,65,2,18.71,89.0,10
90,180,97,65,2,18.73,88.3,10
91,179,98,65,2,18.9,89.8,10
89,181,97,65,2,18.8,85.7,10
89,181,96,65,2,18.83,85.5,10
90,180,97,65,2,18.87,83.9,10
90,179,97,65,2,19.03,84.9,10
90,177,99,65,2,18.88,81.2,10
91,180,97,65,2,18.92,81.3,10
90,180,98,65,2,19.02,81.2,10
90,178,96,65,2,18.94,80.2,10
90,179,96,65,2,18.88,79.5,10
90,178,97,65,2,18.9,78.6,10
91,179,99,65,2,18.85,77.7,10
90,179,97,65,2,18.98,76.9,10
91,180,98,65,2,18.99,73.9,10
92,177,98,65,2,19.05,75.2,10
89,179,97,65,2,18.8,74.3,10
90,179,96,65,2,19.04,73.1,10
0,0,0,65,2,0.0,0.0,7
89,178,97,65,2,18.99,70.6,10
90,176,96,65,2,19.07,71.2,10
90,178,97,65,2,19.2,71.2,10
89,177,97,65,2,18.94,70.8,10
90,178,97,65,2,18.93,71.1,10
91,179,97,65,2,19.08,69.6,10
90,177,97,65,2,19.08,70.2,10
90,178,97,65,2,19.15,69.1,10
91,179,97,65,2,19.09,68.3,10
91,177,97,65,2,18.85,69.6,10
90,177,98,65,2,19.1,67.7,10
90,179,98,65,2,19.06,68.5,10
91,179,98,65,2,19.21,67.3,10
90,178,97,65,2,19.07,66.7,10
90,180,99,65,2,19.22,66.0,10
91,179,98,65,2,19.25,65.2,10
89,178,97,65,2,19.25,65.4,10
90,179,99,65,2,19.24,64.7,10
90,177,98,65,2,19.29,64.4,10
90,177,98,65,2,19.21,64.5,10
89,178,97,65,2,19.29,63.5,10
88,178,99,65,2,19.08,64.3,10
90,177,98,65,2,19.13,62.4,10
89,178,100,65,2,19.31,65.5,10
90,179,98,65,2,19.05,63.6,10
89,177,99,65,2,19.27,65.2,10
91,179,99,65,2,19.18,63.5,10
89,180,98,65,2,19.16,62.4,10
90,178,98,65,2,19.11,62.7,10
89,177,98,65,2,19.23,62.5,10
91,179,98,65,2,19.11,62.8,10
91,178,97,65,2,19.23,61.2,10
90,179,96,65,2,19.21,60.1,10
89,178,97,65,2,19.09,61.5,10
90,178,98,65,2,19.19,61.8,10
89,179,97,65,2,19.14,62.5,10
90,179,98,65,2,19.12,62.0,10
91,178,97,65,2,19.11,61.1,10
89,179,96,65,2,19.17,60.3,10
90,177,97,65,2,19.28,60.7,10
89,178,96,65,2,18.96,61.4,10
89,179,96,65,2,19.04,58.2,10
89,177,94,65,2,19.22,61.0,10
90,177,97,65,2,19.09,60.9,10
89,179,95,65,2,19.12,61.1,10
89,179,96,65,2,19.14,59.6,10
89,179,95,65,2,19.22,60.3,10
90,179,95,65,2,19.14,60.8,10
89,178,96,65,2,19.16,60.0,10
90,178,96,65,2,19.13,59.1,10
90,179,96,65,2,19.19,61.1,10
90,178,97,65,2,19.19,58.9,10
89,179,95,65,2,19.29,60.4,10
89,179,96,65,2,19.15,60.8,10
90,177,97,65,2,19.2,59.7,10
92,178,97,65,2,19.32,59.8,10
90,178,95,65,2,19.29,60.1,10
90,177,96,65,2,19.21,60.0,10
88,178,97,65,2,19.09,58.6,10
89,177,96,65,2,19.15,57.6,10
88,178,96,65,2,19.3,60.1,10
89,179,95,65,2,19.24,60.0,10
89,179,95,65,2,19.07,58.4,10
91,179,96,65,2,19.2,58.8,10
88,180,95,65,2,19.23,57.6,10
90,178,95,65,2,19.27,58.9,10
89,178,95,65,2,19.33,58.7,10
90,179,95,65,2,19.09,59.3,10
90,179,95,65,2,19.18,59.9,10
89,179,95,65,2,19.25,61.2,10
89,176,95,65,2,19.27,59.8,10
89,178,96,65,2,19.15,60.7,10
89,176,96,65,2,19.19,60.4,10
89,179,96,65,2,19.22,59.2,10
88,176,97,65,2,19.32,60.8,10
90,178,95,65,2,19.34,61.5,10
88,177,96,65,2,19.17,60.9,10
90,179,96,65,2,19.21,60.8,10
90,178,96,65,2,19.37,61.0,10
89,178,96,65,2,19.39,61.8,10
91,177,96,65,2,19.26,60.7,10
90,178,95,65,2,19.34,61.5,10
90,179,96,65,2,19.35,62.7,10
89,177,97,65,2,19.15,62.4,10
90,180,96,65,2,19.2,61.9,10
90,179,96,65,2,19.31,63.0,10
92,179,95,65,2,19.16,62.2,10
90,178,96,65,2,19.2,62.0,10
90,179,96,65,2,19.37,64.2,10
88,180,95,65,2,19.13,61.8,10
89,178,96,65,2,19.17,62.4,10
90,178,97,65,2,19.29,62.4,10
90,179,96,65,2,19.48,61.5,10
91,179,95,65,2,19.3,63.7,10
90,180,95,65,2,19.27,63.5,10
90,179,98,65,2,19.18,65.2,10
90,179,96,65,2,19.09,63.8,10
89,178,96,65,2,19.16,66.1,10
89,181,94,65,2,19.19,63.5,10
90,178,97,65,2,19.12,65.4,10
90,179,97,65,2,19.25,64.4,10
91,179,96,65,2,19.36,65.4,10
89,178,96,65,2,19.1,65.0,10
88,180,96,65,2,19.33,65.2,10
91,180,96,65,2,19.28,65.2,10
91,180,95,65,2,19.35,65.6,10
90,179,94,65,2,19.32,63.7,10
89,181,97,65,2,19.31,64.9,10
90,180,97,65,2,19.13,64.8,10
90,181,97,65,2,19.46,64.9,10
90,182,98,65,2,19.4,65.4,10
90,181,96,65,2,19.41,66.4,10
90,184,97,65,2,19.55,63.8,10
90,180,96,65,2,19.38,64.9,10
88,181,97,65,2,19.42,64.9,10
88,182,96,65,2,19.36,64.8,10
91,182,96,65,2,19.43,62.9,10
89,181,98,65,2,19.48,65.5,10
90,182,96,65,2,19.36,64.3,10
90,181,96,65,2,19.45,65.6,10
89,183,98,65,2,19.48,65.6,10
90,183,96,65,2,19.41,64.7,10
89,181,97,65,2,19.4,65.1,10
89,179,97,65,2,19.41,66.2,10
88,180,97,65,2,19.42,65.3,10
91,182,97,65,2,19.49,64.0,10
90,182,97,65,2,19.41,65.6,10
89,180,98,65,2,19.59,65.1,10
89,181,97,65,2,19.55,65.6,10
90,180,96,65,2,19.56,65.0,10
88,182,97,65,2,19.53,65.9,10
90,182,97,65,2,19.36,64.3,10
91,182,98,65,2,19.54,63.9,10
89,181,97,65,2,19.47,65.4,10
91,181,96,65,2,19.52,63.3,10
90,181,98,65,2,19.62,64.8,10
90,181,97,65,2,19.75,65.4,10
89,182,98,65,2,19.66,65.8,10
90,182,97,65,2,19.5,64.8,10
88,182,98,65,2,19.63,64.3,10
90,182,97,65,2,19.45,64.5,10
90,181,98,65,2,19.61,65.7,10
91,183,97,65,2,19.7,65.7,10
89,181,97,65,2,19.5,64.2,10
89,182,98,65,2,19.57,65.1,10
90,183,98,65,2,19.64,65.0,10
90,182,99,65,2,19.49,63.7,10
91,180,98,65,2,19.67,63.0,10
90,181,98,65,2,19.68,65.4,10
90,181,98,65,2,19.56,65.4,10
90,180,98,65,2,19.72,64.3,10
91,183,98,65,2,19.62,63.8,10
89,182,97,65,2,19.7,63.2,10
89,181,98,65,2,19.78,62.6,10
90,179,95,65,2,19.69,64.0,10
90,179,97,65,2,19.76,64.1,10
91,180,97,65,2,19.69,62.3,10
90,179,99,65,2,19.81,63.8,10
90,180,98,65,2,19.75,63.3,10
90,180,97,65,2,19.7,63.5,10
90,178,98,65,2,19.68,61.0,10
91,180,99,65,2,19.72,63.8,10
90,179,98,65,2,19.68,63.2,10
90,179,99,65,2,19.84,62.6,10
89,181,99,65,2,19.73,62.8,10
91,181,97,65,2,19.77,62.0,10
89,180,98,65,2,19.82,62.0,10
89,179,99,65,2,19.79,61.0,10
89,179,98,65,2,19.87,63.2,10
89,178,96,65,2,19.88,62.3,10
89,179,96,65,2,19.81,62.9,10
88,178,98,65,2,19.87,61.6,10
91,179,96,65,2,19.9,63.3,10
89,179,97,65,2,19.92,63.8,10
90,179,97,65,2,19.77,62.6,10
89,180,96,65,2,19.82,62.5,10
89,181,98,65,2,19.86,61.9,10
90,180,97,65,2,19.7,62.2,10
91,177,97,65,2,19.79,62.9,10
89,179,95,65,2,19.96,61.9,10
91,178,96,65,2,19.88,62.4,10
89,179,97,65,2,19.69,61.1,10
90,181,96,65,2,19.77,60.7,10
91,178,95,65,2,19.74,62.0,10
89,179,96,65,2,19.59,62.3,10
89,179,96,65,2,19.83,61.0,10
90,180,97,65,2,19.81,61.9,10
90,180,96,65,2,19.8,61.2,10
90,178,95,65,2,19.88,60.3,10
90,177,96,65,2,19.82,63.0,10
90,178,96,65,2,19.8,62.0,10
89,177,95,65,2,19.72,61.0,10
88,180,95,65,2,19.83,60.3,10
91,178,95,65,2,19.82,60.3,10
90,179,96,65,2,19.95,59.9,10
90,176,95,65,2,19.88,60.5,10
89,177,96,65,2,19.87,59.7,10
89,179,94,65,2,19.78,59.6,10
88,179,92,65,2,19.8,59.8,10
89,180,95,65,2,19.78,58.0,10
89,182,94,65,2,19.83,59.6,10
89,178,95,65,2,19.8,58.7,10
89,179,96,65,2,19.99,59.0,10
90,179,95,65,2,19.65,58.2,10
90,177,95,65,2,19.76,60.0,10
90,179,96,65,2,19.79,57.1,10
89,181,94,65,2,19.81,59.0,10
89,178,93,65,2,19.8,59.7,10
88,180,95,65,2,19.79,94.1,10
89,179,93,65,2,19.83,94.8,10
89,180,96,65,2,19.32,95.0,10
89,180,95,66,2,19.4,92.7,10
90,180,92,66,2,19.47,91.5,10
0,0,0,66,2,0.0,0.0,7
90,180,95,66,2,19.52,91.3,10
89,179,94,66,2,19.31,90.2,10
89,181,96,66,2,19.48,89.7,10
90,181,95,66,2,19.5,88.1,10
89,179,95,66,2,19.53,87.0,10
91,179,94,66,2,19.52,86.2,10
90,181,96,66,2,19.43,87.1,10
90,180,96,66,2,19.68,86.8,10
90,179,95,66,2,19.46,84.4,10
90,179,96,66,2,19.38,81.9,10
89,180,96,66,2,19.59,80.0,10
91,180,96,66,2,19.57,82.4,10
89,178,95,66,2,19.61,80.7,10
89,180,96,66,2,19.57,80.3,10
87,179,97,66,2,19.46,78.9,10
89,180,97,66,2,19.41,75.8,10
89,179,96,66,2,19.59,79.3,10
90,179,98,66,2,19.57,76.5,10
90,179,96,66,2,19.69,74.4,10
89,180,96,66,2,19.55,74.3,10
90,178,96,66,2,19.63,74.8,10
89,180,97,66,2,19.65,72.9,10
89,180,95,66,2,19.6,70.5,10
90,179,96,66,2,19.75,70.4,10
90,180,96,66,2,19.6,71.8,10
89,180,95,66,2,19.74,67.9,10
91,180,95,66,2,19.67,68.5,10
88,179,96,66,2,19.74,67.7,10
89,179,97,66,2,19.62,66.9,10
89,178,95,66,2,19.84,65.0,10
88,181,96,66,2,19.68,65.4,10
89,179,95,66,2,19.63,63.0,10
90,178,97,66,2,19.74,64.2,10
89,179,96,66,2,19.71,64.1,10
89,180,96,66,2,19.84,65.3,10
89,179,96,66,2,19.9,62.1,10
89,179,95,66,2,19.84,63.6,10
90,178,96,66,2,19.79,64.5,10
87,180,96,66,2,19.77,61.2,10
89,178,94,66,2,19.66,63.4,10
89,175,96,66,2,19.78,64.1,10
88,179,97,66,2,19.78,63.2,10
90,178,95,66,2,19.73,61.0,10
90,178,95,66,2,19.74,62.9,10
89,179,96,66,2,19.89,60.4,10
88,179,97,66,2,19.76,61.4,10
89,177,97,66,2,19.77,62.3,10
90,179,96,66,2,19.86,61.1,10
88,178,97,66,2,19.87,91.0,10
88,179,96,66,2,19.95,91.4,10
89,180,96,66,2,19.86,88.9,10
88,177,96,66,2,19.77,90.1,10
88,176,95,66,2,19.85,90.3,10
90,176,97,66,2,19.95,86.7,10
88,176,96,66,2,19.56,84.8,10
91,176,95,66,2,19.72,85.5,10
88,180,95,66,2,19.71,82.6,10
88,177,96,66,2,19.77,80.6,10
90,179,97,66,2,19.79,81.8,10
88,177,97,66,2,19.72,80.9,10
90,179,96,66,2,19.76,79.7,10
88,179,97,66,2,19.77,78.8,10
89,176,97,66,2,19.69,78.7,10
89,178,96,66,2,19.93,76.5,10
89,177,96,66,2,19.95,75.2,10
89,176,96,66,2,19.73,75.5,10
89,177,95,66,2,19.79,75.9,10
88,176,97,66,2,19.9,72.1,10
88,176,98,66,2,19.95,73.6,10
89,176,96,66,2,19.88,71.5,10
89,177,96,66,2,19.81,73.8,10
88,177,96,66,2,19.93,73.2,10
87,178,96,66,2,19.71,70.9,10
88,177,95,66,2,19.95,70.5,10
89,176,95,66,2,19.88,69.3,10
89,177,95,66,2,19.98,70.5,10
89,176,96,66,2,19.87,68.5,10
0,0,0,66,2,0.0,0.0,7
90,177,95,66,2,19.97,68.6,10
89,176,97,66,2,20.04,66.4,10
89,177,96,66,2,20.0,68.5,10
88,177,96,66,2,20.06,66.9,10
88,178,98,66,2,20.09,67.4,10
90,177,96,66,2,20.17,67.2,10
89,178,97,66,2,20.06,65.9,10
90,178,98,66,2,20.07,65.8,10
89,178,98,66,2,20.1,66.0,10
88,177,98,66,2,20.05,65.7,10
90,177,97,66,2,20.19,63.1,10
90,179,96,66,2,20.16,63.3,10
90,179,98,66,2,20.39,64.4,10
88,179,98,66,2,20.11,63.6,10
89,178,96,66,2,20.11,63.7,10
89,178,95,66,2,20.15,62.4,10
89,178,96,66,2,20.1,62.1,10
90,178,96,66,2,20.05,62.4,10
90,179,96,66,2,20.22,61.6,10
89,180,98,66,2,20.27,63.3,10
89,178,96,66,2,20.06,61.4,10
0,0,0,66,2,0.0,0.0,7
88,179,96,66,2,20.24,60.0,10
89,179,96,66,2,20.15,60.4,10
88,179,95,66,2,20.24,59.4,10
89,177,96,66,2,20.49,60.4,10
88,177,96,66,2,20.21,59.6,10
88,178,96,66,2,20.28,59.3,10
90,177,96,66,2,20.37,59.9,10
88,180,96,66,2,20.21,59.6,10
89,178,98,66,2,20.42,59.1,10
90,179,96,66,2,20.31,58.3,10
89,178,96,66,2,20.47,59.2,10
90,178,95,66,2,20.24,58.8,10
89,178,96,66,2,20.33,58.1,10
88,177,97,66,2,20.27,57.7,10
89,177,98,66,2,20.37,58.9,10
89,178,95,66,2,20.17,58.0,10
90,177,95,66,2,20.36,59.0,10
90,177,98,66,2,20.32,58.7,10
89,177,97,66,2,20.23,59.3,10
87,176,96,66,2,20.3,56.3,10
89,177,96,66,2,20.47,58.0,10
88,174,99,66,2,20.38,59.7,10
89,178,97,66,2,20.42,57.4,10
89,177,97,66,2,20.44,58.2,10
89,176,97,66,2,20.4,58.9,10
88,175,98,66,2,20.54,57.5,10
88,177,98,66,2,20.46,58.7,10
88,178,97,66,2,20.4,57.0,10
90,175,98,66,2,20.46,57.5,10
89,175,97,66,2,20.45,58.3,10
89,176,97,66,2,20.31,57.5,10
88,177,97,66,2,20.47,57.7,10
89,176,98,66,2,20.51,58.3,10
88,175,97,66,2,20.43,56.4,10
88,176,97,66,2,20.49,56.8,10
