n,p,k,ec_aktual,kelembapan_udara,kelembapan_tanah,suhu,fase,usia_hst,target_ec,vpd
161.3,75.87,231.99,2.108,91.85,30.26,27.42,1,129,2.13,0.2978
184.62,51.49,160.68,1.623,81.73,40.98,27.34,0,29,1.67,0.6645
235.94,57.29,198.98,1.568,81.3,82.24,27.05,0,16,1.56,0.6687
191.02,40.07,195.03,1.699,86.7,57.98,26.52,0,39,1.87,0.461
193.06,54.67,183.66,1.83,89.23,68.7,23.36,0,14,1.81,0.3092
176.62,67.36,223.7,1.933,79.55,46.95,29.94,1,80,1.99,0.8647
230.21,58.64,209.29,1.589,78.5,62.2,25.28,0,40,1.58,0.6925
197.53,62.23,179.4,1.481,84.27,49.61,27.51,0,33,1.55,0.5778
159.21,64.42,266.05,2.019,82.28,46.33,31.09,1,96,1.66,0.8002
217.39,48.56,209.73,1.581,89.4,52.63,24.14,0,31,1.75,0.319
239.11,42.56,201.83,1.739,82.81,55.29,29.37,0,8,1.54,0.7034
231.05,48.42,177.38,1.77,82.92,48.21,25.81,0,26,1.62,0.5677
123.57,60.09,252.2,2.095,88.48,44.19,26.66,1,134,2.3,0.4026
194.81,60.07,155.75,1.726,84.12,64.31,26.34,0,44,1.56,0.5446
126.6,60.62,268.87,1.915,77.98,50.94,30.22,1,63,1.68,0.9462
182.82,50.43,200.63,1.485,81.14,41.1,28.28,0,33,1.65,0.7246
184.83,46.49,168.6,1.652,75.98,71.71,25.32,0,30,1.55,0.7755
229.95,42.95,195.2,1.602,81.48,69.81,27.9,0,41,1.53,0.696
181.71,61.28,195.76,1.84,87.05,78.77,26.55,0,29,1.7,0.4497
164.68,75.77,274.28,1.769,85.06,60.53,26.82,1,103,1.7,0.5271
173.93,77.62,232.92,2.074,88.69,45.37,29.34,1,133,2.17,0.462
135.61,57.05,251.42,2.072,82.5,77.5,26.32,1,135,1.93,0.5995
183.14,46.47,197.39,1.509,85.2,45.42,27.49,0,12,1.56,0.543
229.97,45.63,159.23,1.484,87.72,66.06,26.38,0,35,1.84,0.4221
143.19,61.46,263.06,1.959,95.0,40.47,26.73,1,117,1.88,0.1755
230.2,54.43,169.56,1.403,83.99,64.6,26.92,0,15,1.64,0.5681
220.49,43.75,152.17,1.775,78.05,76.25,26.92,0,25,1.62,0.7789
196.1,40.31,157.42,1.924,89.85,59.7,24.32,0,13,1.8,0.3087
181.08,42.62,189.29,1.559,92.56,55.9,26.97,0,31,1.8,0.2648
171.64,59.33,268.53,1.923,81.18,84.64,27.45,1,63,1.73,0.6889
159.89,60.59,252.61,1.843,87.71,31.23,26.66,1,149,2.11,0.4295
162.64,74.11,262.61,1.868,90.16,48.25,26.09,1,110,1.91,0.3325
212.65,62.19,191.56,1.529,88.9,80.52,26.32,0,35,1.7,0.3802
217.14,47.21,179.58,1.745,85.88,65.35,24.72,0,40,1.78,0.4399
232.78,48.28,168.51,1.983,78.36,59.82,28.5,0,26,1.52,0.8421
234.56,45.45,158.75,1.513,83.76,65.07,25.93,0,11,1.54,0.5436
224.99,46.35,170.47,1.492,84.58,47.71,28.02,0,42,1.65,0.5835
162.93,70.22,246.37,1.86,87.91,33.91,26.81,1,149,2.09,0.4263
152.29,71.8,295.06,2.054,85.37,45.13,26.45,1,133,1.78,0.505
246.28,61.49,159.62,1.641,80.86,48.51,27.49,0,17,1.63,0.7023
134.32,56.9,293.16,2.012,85.12,56.39,27.96,1,81,1.66,0.5611
138.62,66.72,288.46,1.947,89.96,51.66,24.26,1,63,1.88,0.3043
138.97,57.61,262.3,2.163,80.21,58.66,32.43,1,124,1.73,0.9641
168.36,78.2,274.15,2.092,78.53,40.78,27.55,1,77,1.72,0.7905
199.0,45.73,167.35,1.687,82.98,40.12,26.24,0,29,1.64,0.5803
180.4,58.03,189.7,1.644,89.33,49.34,25.45,0,11,1.69,0.3472
189.62,64.26,207.35,1.577,79.18,56.05,23.78,0,31,1.52,0.6131
124.39,71.5,275.42,1.914,69.34,48.8,30.77,1,118,1.47,1.3595
190.26,40.88,184.23,1.662,94.83,61.71,22.46,0,10,1.83,0.1406
243.12,47.92,205.4,1.651,86.39,47.05,26.3,0,33,1.84,0.4657
236.4,40.71,160.59,1.668,87.76,39.74,25.3,0,16,1.55,0.3947
185.01,41.0,172.01,1.412,80.01,77.46,24.57,0,40,1.55,0.6172
177.55,60.8,284.3,2.041,86.45,41.03,27.48,1,72,1.92,0.4969
178.73,78.12,252.42,1.963,83.83,83.17,27.82,1,63,1.94,0.6048
236.21,47.61,190.15,1.495,71.96,84.31,30.69,0,41,1.41,1.2377
