jam,soil_moisture,soil_temperature,air_temperature,air_humidity,nitrogen,fosfor,kalium,ec,irrigation_action
9,56.3,25.0,28.5,67.6,65.7,73.5,118.2,1.82,0
10,54.5,26.8,28.5,69.7,66.6,70.6,122.1,1.83,0
11,52.3,26.9,30.2,64.9,69.3,71.1,121.0,1.77,0
12,62.1,27.2,31.3,66.5,71.6,71.5,116.3,1.82,1
13,60.0,27.5,32.3,64.3,72.3,73.5,115.5,1.83,0
14,57.8,28.5,32.9,63.0,73.4,77.1,119.1,1.9,0
15,67.8,29.1,31.6,64.7,67.9,72.7,119.5,1.89,1
16,65.6,29.7,31.4,68.1,69.8,73.3,117.2,1.98,0
17,63.3,29.8,30.8,65.3,69.8,75.0,122.3,2.02,0
18,62.5,28.9,30.9,64.9,69.6,73.9,123.0,2.0,0
19,61.2,29.3,30.0,69.1,69.9,76.2,125.2,2.06,0
20,59.9,28.4,28.6,73.4,72.3,73.8,123.4,1.97,0
21,58.3,28.4,26.8,75.7,71.9,72.6,123.7,2.09,0
22,57.0,27.7,27.5,76.3,68.3,71.5,127.1,2.15,0
23,55.7,27.0,26.3,72.2,67.9,72.8,127.1,1.98,0
0,54.9,27.4,26.3,76.9,68.4,72.9,125.0,2.06,0
1,53.9,26.3,24.7,77.6,70.3,74.2,126.1,1.94,0
2,52.4,25.7,25.9,79.0,68.3,74.9,123.3,1.97,0
3,51.4,25.3,23.8,77.9,63.7,77.3,124.6,2.17,0
4,50.5,25.7,25.3,79.5,60.0,75.8,121.2,2.16,0
5,48.9,25.5,24.3,77.4,58.7,74.8,117.2,2.22,0
6,58.9,25.4,24.5,82.3,61.7,76.6,116.0,2.11,1
7,56.8,25.1,25.1,76.1,62.3,75.5,114.4,2.0,0
8,55.2,24.6,27.2,72.5,65.0,80.0,118.2,1.91,0
9,53.0,26.0,29.8,68.4,67.2,81.0,119.0,1.96,0
10,50.4,26.3,30.7,69.7,69.4,84.1,119.4,1.96,0
11,48.8,26.8,31.6,66.9,71.6,86.4,120.4,2.13,0
12,59.3,27.0,29.9,66.6,71.2,87.8,119.5,2.36,1
13,57.8,27.7,32.6,64.6,70.2,87.7,121.7,2.45,0
14,55.2,28.8,32.4,63.3,69.8,85.8,122.9,2.44,0
15,64.7,28.6,31.2,63.4,70.5,85.8,127.2,2.42,1
16,62.4,29.3,30.7,64.2,69.7,87.8,124.8,2.43,0
17,60.1,29.0,30.7,65.9,68.2,87.4,126.8,2.26,0
18,59.1,29.0,31.4,69.2,69.3,88.6,124.6,2.26,0
19,58.7,29.0,28.4,68.5,74.3,89.8,120.5,2.33,0
20,57.0,28.7,28.1,71.7,75.7,92.6,120.1,2.47,0
21,56.7,28.1,28.7,74.2,73.4,92.4,124.2,2.57,0
22,54.4,27.3,26.4,73.7,72.3,92.7,122.7,2.57,0
23,55.0,27.1,25.7,77.8,73.6,96.2,121.0,2.48,0
0,53.2,27.3,25.4,78.1,74.8,93.4,120.1,2.55,0
1,50.9,26.5,23.8,79.2,72.8,95.0,117.3,2.41,0
2,49.3,26.7,24.5,79.3,73.5,97.9,123.3,2.43,0
3,49.3,25.1,23.1,80.1,72.7,98.2,121.3,2.38,0
4,48.7,26.0,24.7,78.5,73.5,95.5,123.3,2.32,0
5,49.1,24.8,24.2,78.0,74.9,95.6,123.5,2.2,0
6,59.3,24.5,26.8,78.6,72.7,97.5,119.0,2.13,1
7,57.1,24.6,26.2,77.6,70.6,101.5,117.1,2.18,0
8,54.7,24.7,28.4,73.0,75.7,103.6,117.6,2.27,0
9,53.1,26.1,27.7,71.5,74.0,101.7,115.9,2.28,0
10,51.0,25.6,29.9,67.6,72.9,98.0,118.3,2.17,0
11,48.7,26.8,31.3,64.5,72.6,96.2,116.1,2.22,0
12,58.8,27.3,33.2,64.5,69.8,97.0,116.5,2.32,1
13,57.7,27.4,30.7,64.7,72.8,98.5,118.5,2.24,0
14,56.8,28.7,32.7,62.9,73.0,96.4,117.4,2.2,0
15,65.9,28.9,32.1,63.6,70.3,95.7,118.4,2.35,1
16,65.0,28.5,32.5,64.6,70.0,96.9,119.4,2.31,0
17,63.4,29.4,31.2,67.0,69.8,101.6,118.2,2.45,0
18,63.7,28.5,30.0,65.3,69.8,100.3,115.2,2.54,0
19,62.1,27.9,28.8,70.0,69.6,102.9,116.3,2.49,0
20,61.5,28.8,27.4,71.6,63.1,104.0,115.7,2.58,0
21,61.1,27.8,27.7,73.2,63.2,105.7,115.5,2.58,0
22,59.8,27.2,26.6,73.5,59.4,105.3,107.6,2.48,0
23,59.4,27.0,27.6,76.5,60.2,103.6,108.3,2.42,0
0,60.3,26.6,24.8,75.4,60.4,104.5,107.0,2.16,0
1,60.0,26.4,25.0,77.1,63.7,106.2,105.6,2.12,0
2,58.5,25.5,23.1,80.7,64.0,104.9,109.6,2.31,0
3,57.9,26.1,23.8,77.4,68.0,102.8,111.1,2.37,0
4,57.0,25.6,24.2,78.8,71.0,106.1,112.7,2.26,0
5,55.7,25.1,24.9,78.5,72.3,102.4,112.2,2.35,0
6,66.0,25.8,26.1,79.3,69.9,106.4,112.9,2.35,1
7,63.0,25.1,26.0,73.4,71.5,109.4,109.8,2.32,0
8,61.5,25.3,26.4,72.3,74.2,107.4,110.5,2.18,0
9,60.1,25.4,29.1,68.7,76.8,106.0,109.0,2.32,0
10,58.0,26.0,30.4,71.0,74.5,106.5,108.4,2.28,0
11,55.3,27.2,31.5,65.4,78.1,108.0,109.2,2.33,0
12,65.4,27.1,31.2,63.5,76.3,109.4,109.4,2.35,1
13,64.0,28.3,32.9,64.2,76.0,106.7,109.4,2.11,0
14,61.9,28.2,32.0,65.7,76.2,110.2,111.7,2.09,0
15,72.1,28.6,32.2,61.0,75.7,109.8,112.1,2.11,1
16,70.8,28.6,32.3,63.6,78.0,108.5,116.1,2.08,0
17,69.3,28.4,31.2,67.0,79.0,106.3,118.4,2.22,0
18,67.9,29.0,30.2,66.9,78.9,104.9,124.1,2.34,0
19,66.6,28.1,31.0,66.9,79.9,107.4,127.6,2.26,0
20,66.3,28.7,28.6,69.9,78.4,104.4,133.3,2.28,0
21,65.3,28.4,27.3,73.1,78.5,105.1,130.0,2.31,0
22,63.9,27.5,26.9,75.1,79.3,105.3,130.4,2.51,0
23,62.7,27.5,27.2,79.5,80.1,111.0,128.0,2.61,0
0,61.7,27.0,25.4,74.4,79.7,110.2,129.1,2.65,0
1,61.0,26.8,25.2,75.8,78.9,107.7,129.8,2.61,0
2,59.6,25.6,25.3,77.1,78.9,110.7,129.6,2.7,0
3,59.7,25.8,23.7,81.6,80.1,113.2,126.2,2.83,0
4,59.0,25.8,22.6,78.4,75.6,107.5,124.9,2.8,0
5,57.5,25.1,24.5,76.8,75.9,108.9,122.8,2.88,0
6,67.7,25.2,25.1,79.6,73.9,109.9,125.9,2.89,1
7,66.4,24.8,25.5,74.7,74.6,109.3,124.4,3.07,0
8,64.6,26.0,28.0,75.4,74.1,107.4,123.9,2.81,0
9,62.1,25.8,29.2,71.0,74.9,101.7,123.1,2.93,0
10,59.1,25.9,29.2,66.8,73.7,100.2,122.0,2.91,0
11,56.5,27.2,31.5,67.5,72.5,101.1,119.9,2.93,0
12,66.9,27.3,31.6,66.0,73.8,101.7,119.9,3.06,1
13,66.1,28.1,30.8,66.7,72.7,96.0,117.8,3.22,0
14,63.5,28.8,32.3,63.4,68.2,94.7,113.3,3.17,0
15,73.5,29.5,31.6,64.1,68.5,98.4,112.7,3.15,1
16,70.8,28.9,30.6,68.2,70.4,100.7,110.2,3.22,0
17,67.4,29.8,31.1,68.6,67.7,100.7,109.1,3.16,0
18,66.3,29.2,30.4,68.5,67.5,96.8,110.4,3.06,0
19,66.3,29.0,28.8,68.0,64.6,102.2,107.5,2.91,0
20,65.9,28.7,28.7,69.3,63.4,101.6,110.6,2.9,0
21,64.1,28.4,28.4,70.3,63.8,102.8,111.4,2.8,0
22,62.1,27.8,26.2,72.7,65.1,103.1,112.4,2.82,0
23,61.8,27.3,26.3,75.6,65.3,101.4,111.9,2.68,0
0,60.3,27.4,25.3,75.2,64.0,102.2,111.3,2.55,0
1,59.4,26.5,26.6,79.8,66.1,100.1,113.4,2.62,0
2,58.1,26.3,22.9,74.7,69.4,93.8,110.0,2.55,0
3,57.4,25.3,24.6,78.4,68.3,95.9,111.8,2.47,0
4,57.1,26.0,23.8,78.8,69.0,100.1,111.1,2.28,0
5,56.4,25.3,24.2,80.6,68.6,102.2,112.7,2.31,0
6,66.4,25.6,26.5,79.1,68.6,103.6,112.1,2.19,1
7,63.4,25.2,26.0,73.8,66.7,101.5,111.2,2.2,0
8,61.2,25.1,29.1,73.8,66.2,103.0,110.2,2.35,0
9,58.2,25.8,28.3,68.7,66.2,105.9,110.6,2.4,0
10,56.2,25.7,30.3,68.5,63.6,100.3,109.6,2.36,0
11,53.9,25.9,30.7,63.7,63.0,102.4,111.7,2.38,0
12,63.6,27.0,31.2,64.7,62.3,98.6,110.5,2.27,1
13,60.6,28.5,32.0,66.6,64.1,98.2,106.3,2.23,0
14,59.1,28.2,31.7,67.8,61.1,97.0,103.7,2.31,0
15,69.7,28.7,31.8,66.6,61.2,98.5,102.3,2.38,1
16,67.1,29.4,29.6,63.7,60.4,99.0,104.0,2.32,0
17,66.0,29.2,32.3,65.7,61.1,97.3,103.6,2.2,0
18,64.1,28.5,29.9,66.3,60.7,97.4,101.7,2.24,0
19,63.5,28.6,30.6,68.4,61.5,97.9,103.5,2.3,0
20,63.4,28.2,27.6,68.0,58.3,98.2,103.0,2.29,0
21,62.3,28.3,27.8,71.7,55.1,97.8,100.3,2.34,0
22,61.4,27.8,29.3,76.5,58.1,96.6,98.7,2.46,0
23,60.6,26.8,25.3,80.0,56.2,96.4,94.5,2.48,0
0,60.6,26.3,24.1,78.1,54.7,98.2,95.6,2.42,0
1,59.7,25.7,24.3,78.8,56.0,96.7,95.1,2.46,0
2,58.6,26.2,24.7,80.5,55.9,94.8,93.3,2.52,0
3,57.8,25.9,24.6,77.0,56.3,97.9,94.1,2.43,0
4,56.0,25.5,25.0,78.5,58.9,93.2,96.4,2.24,0
5,54.9,24.8,24.0,81.0,59.8,92.8,96.3,2.28,0
6,64.3,24.6,23.7,77.7,62.1,93.3,99.9,2.32,1
7,61.5,25.3,25.7,75.3,61.5,95.0,96.9,2.42,0
8,57.7,24.1,28.3,74.9,63.4,95.5,98.4,2.49,0
9,54.8,25.7,29.1,67.2,65.8,97.7,100.3,2.41,0
10,53.1,25.8,28.4,70.1,69.5,97.6,98.2,2.25,0
11,49.9,26.5,31.0,64.4,67.3,100.4,102.0,2.23,0
12,60.8,28.2,32.9,65.5,69.0,101.9,104.6,2.09,1
13,58.8,28.3,33.7,64.0,70.8,103.9,104.6,2.19,0
14,57.4,28.6,32.4,65.5,68.5,101.6,100.4,2.14,0
15,67.5,28.8,31.9,66.5,64.5,103.0,100.0,2.39,1
16,65.2,28.4,30.2,63.7,62.8,101.1,102.2,2.29,0
17,63.3,28.5,30.0,68.2,59.7,99.4,100.1,2.29,0
18,61.8,28.1,30.0,68.9,64.7,97.9,98.7,2.4,0
19,61.5,28.6,29.6,72.1,65.6,97.9,98.8,2.49,0
20,60.5,27.8,28.9,70.2,66.2,95.7,96.0,2.25,0
21,60.5,28.0,27.2,75.0,65.5,92.0,94.5,2.4,0
22,60.1,27.5,25.8,75.8,66.0,94.3,97.4,2.4,0
23,59.4,27.4,25.4,75.2,66.3,90.8,97.0,2.55,0
0,59.2,26.8,24.4,79.2,68.5,92.3,97.9,2.56,0
1,58.0,26.3,25.3,77.8,68.6,90.0,95.3,2.38,0
2,57.4,25.9,22.5,81.0,70.5,96.2,95.2,2.64,0
3,57.3,25.3,23.8,79.6,74.0,94.7,97.1,2.47,0
4,56.2,25.5,24.4,80.2,72.4,98.2,95.1,2.49,0
5,55.2,25.2,25.5,79.6,71.9,97.9,90.6,2.49,0
6,65.1,25.9,25.0,80.0,73.5,96.2,94.6,2.33,1
7,62.2,25.4,26.8,75.8,72.0,95.0,99.6,2.3,0
8,61.7,25.2,27.0,74.4,69.7,94.2,99.8,2.33,0
9,60.5,25.9,28.1,71.7,70.9,98.1,101.7,2.39,0
10,58.2,25.5,29.5,66.5,70.0,96.3,103.7,2.39,0
11,55.9,26.4,32.3,67.5,73.3,94.4,101.5,2.49,0
12,66.1,26.8,32.6,67.1,75.7,93.1,100.1,2.58,1
13,64.9,28.3,32.4,64.9,74.1,94.8,100.3,2.63,0
14,63.3,28.8,34.6,64.9,69.8,95.3,103.4,2.73,0
15,73.5,28.5,31.6,63.2,67.7,97.8,105.3,2.69,1
16,71.4,29.4,31.7,67.8,68.6,99.1,105.2,2.84,0
17,68.9,29.1,30.9,63.9,68.6,98.7,109.1,2.8,0
18,67.7,28.4,29.8,68.3,68.0,97.4,113.0,2.72,0
19,66.2,28.6,31.1,72.3,66.8,96.3,112.3,2.78,0
20,65.6,28.2,29.6,69.9,66.3,96.6,111.8,2.74,0
21,64.4,28.8,26.5,73.8,66.1,95.7,113.3,2.57,0
22,63.3,27.5,26.4,73.2,63.6,93.5,112.4,2.55,0
23,61.4,27.5,26.3,77.2,63.2,91.2,113.1,2.66,0
0,59.9,26.8,26.0,74.8,67.3,88.6,114.4,2.52,0
1,58.8,27.1,23.7,77.7,67.0,89.3,115.8,2.55,0
2,58.4,25.7,22.5,78.2,68.3,89.7,114.0,2.49,0
3,57.1,26.0,22.6,80.0,68.0,89.8,108.5,2.5,0
4,55.7,25.4,23.9,76.9,67.2,85.6,106.5,2.62,0
5,54.6,25.0,24.2,82.2,65.7,85.0,104.7,2.64,0
6,64.6,25.1,25.2,78.7,62.0,82.5,105.7,2.6,1
7,63.3,25.6,25.4,75.1,61.0,84.9,106.1,2.51,0
8,62.4,25.4,26.3,76.1,62.5,87.5,107.4,2.5,0
9,60.9,25.2,27.1,70.6,62.2,90.0,105.2,2.47,0
10,59.0,25.7,30.3,68.5,65.4,92.7,110.9,2.49,0
11,57.8,27.0,31.4,66.4,67.1,91.6,110.5,2.43,0
12,68.0,27.8,32.6,67.3,69.1,92.2,105.1,2.42,1
13,65.9,27.7,32.6,64.3,70.1,94.4,105.7,2.3,0
14,63.0,28.2,31.8,62.3,70.8,89.8,108.3,2.27,0
15,71.4,28.6,32.7,64.9,72.0,90.3,105.6,2.34,1
16,69.0,28.5,31.1,66.3,69.7,91.1,106.4,2.31,0
17,66.2,29.2,30.1,66.6,65.4,91.8,106.0,2.31,0
18,64.7,28.9,29.6,66.8,67.0,89.8,103.3,2.33,0
19,63.2,28.4,28.8,68.1,65.9,89.0,103.9,2.4,0
20,62.2,27.7,26.7,68.1,66.1,88.0,104.1,2.34,0
21,62.0,27.8,27.7,73.7,60.8,88.9,102.2,2.36,0
22,61.9,27.2,27.0,73.0,62.1,84.8,103.9,2.43,0
23,60.4,27.5,25.7,74.8,59.9,83.0,108.3,2.53,0
0,60.3,27.0,24.8,78.3,62.4,82.3,108.3,2.46,0
1,58.4,26.6,25.1,80.4,63.2,84.2,108.2,2.4,0
2,57.4,25.9,25.7,77.4,62.3,86.5,108.4,2.43,0
3,56.1,26.0,24.1,79.2,64.5,84.9,110.8,2.32,0
4,54.7,25.7,23.6,79.3,65.9,83.1,110.3,2.15,0
5,53.0,25.4,23.8,80.4,65.5,84.4,110.0,2.45,0
6,63.2,25.6,24.9,76.3,64.0,81.3,108.5,2.46,1
7,60.1,24.9,25.0,74.6,64.5,81.5,113.5,2.31,0
8,58.4,24.7,27.2,74.1,62.9,81.5,113.1,2.24,0
9,57.2,25.0,28.7,69.5,66.2,80.6,117.8,2.34,0
10,54.7,26.7,31.5,66.1,64.7,80.4,122.0,2.31,0
11,52.2,26.2,31.8,65.9,61.9,81.6,122.5,2.47,0
12,62.4,27.5,32.6,62.8,60.2,78.9,118.6,2.57,1
13,60.9,28.0,31.4,63.5,62.1,82.1,120.7,2.41,0
14,60.1,28.5,32.4,66.5,61.8,81.2,122.7,2.4,0
15,69.6,29.4,30.7,64.4,59.7,77.7,126.8,2.38,1
16,68.0,29.6,31.5,65.3,59.2,78.3,124.1,2.34,0
17,66.3,28.7,31.0,65.8,56.8,76.3,118.7,2.44,0
18,66.3,28.9,29.4,65.3,58.2,76.0,118.3,2.57,0
19,65.2,28.7,30.8,69.8,59.1,76.0,115.3,2.48,0
20,64.1,27.8,28.9,73.0,58.1,75.2,114.5,2.57,0
21,62.7,28.3,26.1,75.1,58.7,81.1,115.4,2.62,0
22,61.4,27.8,27.2,79.6,60.3,82.5,111.1,2.72,0
23,60.7,27.2,25.7,75.5,61.7,80.1,112.4,2.77,0
0,58.2,27.4,25.3,77.7,64.1,76.3,113.8,2.71,0
1,57.9,25.7,25.1,76.5,62.4,76.5,114.5,2.66,0
2,57.3,26.3,24.7,82.6,61.8,78.9,111.1,2.78,0
3,57.0,25.4,22.5,81.6,60.2,78.1,111.2,2.73,0
4,55.8,25.0,23.1,81.7,62.5,78.5,111.5,2.81,0
5,54.3,25.5,24.9,80.6,64.3,79.8,110.1,2.74,0
6,64.2,25.0,26.0,77.9,64.9,77.4,114.3,2.61,1
7,62.6,24.8,27.5,71.4,64.3,78.9,108.6,2.69,0
8,61.3,25.8,28.7,75.6,61.4,78.8,101.6,2.58,0
9,59.9,25.0,27.1,71.8,63.1,78.1,100.5,2.61,0
10,57.6,25.5,30.6,68.5,62.8,79.9,101.4,2.72,0
11,55.5,26.4,29.5,64.4,64.2,81.6,102.1,2.78,0
12,65.2,27.5,33.0,66.0,63.0,85.1,96.9,2.66,1
13,63.4,28.0,32.2,64.5,59.5,88.4,92.0,2.71,0
14,61.0,28.5,31.0,64.5,59.6,89.4,96.4,2.81,0
15,70.4,28.5,33.3,62.7,59.6,84.4,98.7,2.75,1
16,68.0,28.6,31.8,63.5,57.3,84.2,99.5,2.66,0
17,66.0,29.1,29.2,66.5,58.7,82.2,98.7,2.45,0
18,64.0,28.1,30.2,67.8,56.7,79.7,100.5,2.49,0
19,62.1,28.9,28.7,67.7,58.7,81.9,101.6,2.5,0
20,60.9,28.2,28.5,74.3,58.6,84.6,103.6,2.56,0
21,60.8,28.4,27.2,72.0,55.5,84.4,105.2,2.49,0
22,59.8,27.8,27.9,74.4,57.1,84.5,104.5,2.53,0
23,58.3,27.4,24.9,76.5,59.7,83.4,102.2,2.58,0
0,56.4,26.9,25.6,80.0,62.5,84.8,106.3,2.5,0
1,54.7,25.5,26.2,77.1,64.9,88.8,105.5,2.6,0
2,54.4,26.2,23.7,79.0,65.2,89.5,110.7,2.62,0
3,54.1,25.6,24.3,77.5,64.4,90.4,109.6,2.6,0
4,52.5,25.8,24.2,81.9,65.0,88.9,109.1,2.33,0
5,52.2,24.8,23.7,80.3,64.0,87.1,107.0,2.43,0
6,61.4,24.6,25.5,78.4,63.4,88.2,106.8,2.57,1
7,58.7,25.4,26.1,76.5,63.0,87.5,108.6,2.57,0
8,57.3,24.8,26.6,76.7,64.3,89.9,106.6,2.63,0
9,55.0,25.8,30.1,70.4,65.1,86.2,112.0,2.68,0
10,53.5,25.5,30.6,66.9,61.1,87.5,115.7,2.62,0
11,52.4,26.6,30.9,64.8,61.2,86.5,115.8,2.78,0
12,62.6,27.5,31.2,66.3,60.5,83.8,116.2,2.82,1
13,61.2,27.9,31.4,65.1,59.6,82.1,114.6,2.75,0
14,60.4,28.4,32.9,65.0,59.1,85.3,115.7,2.94,0
15,70.8,29.2,31.5,63.5,60.0,89.8,114.5,2.78,1
16,69.7,28.2,31.6,66.5,61.2,90.5,114.0,2.76,0
17,68.0,28.6,30.5,67.7,59.3,86.5,113.9,2.67,0
18,66.6,28.2,30.5,68.2,62.2,82.2,113.3,2.58,0
19,65.9,28.2,29.1,69.3,60.5,80.8,109.4,2.65,0
20,65.6,28.0,29.0,72.0,60.2,80.0,108.0,2.64,0
21,64.0,28.2,27.4,73.6,61.7,77.7,108.4,2.58,0
22,63.1,27.5,27.4,73.6,57.3,80.2,110.9,2.52,0
23,62.9,27.4,26.5,75.4,54.7,80.8,108.7,2.54,0
0,62.7,27.2,25.2,74.3,56.9,82.0,106.5,2.53,0
1,61.4,27.0,24.1,79.5,59.3,79.9,108.9,2.56,0
2,60.2,25.9,23.6,79.1,59.4,82.2,110.2,2.54,0
3,59.2,24.5,23.5,82.6,58.3,80.0,109.0,2.57,0
4,59.7,25.5,23.2,76.8,58.1,83.4,111.0,2.55,0
5,58.3,25.6,24.9,79.8,58.6,84.1,106.3,2.4,0
6,67.4,24.6,24.9,79.2,54.6,87.1,111.9,2.49,1
7,66.0,24.7,27.3,74.7,54.4,82.2,108.5,2.22,0
8,63.1,25.4,29.1,74.3,54.1,81.5,107.5,2.35,0
9,61.3,25.7,28.7,71.1,57.7,77.5,103.5,2.47,0
10,59.0,26.2,28.8,69.0,56.8,79.5,107.9,2.45,0
11,57.7,26.9,30.8,65.5,57.0,77.8,109.7,2.39,0
12,67.4,26.6,31.7,58.8,58.9,81.0,112.7,2.45,1
13,66.0,28.3,30.8,64.1,58.5,83.8,108.4,2.6,0
14,63.6,28.3,31.7,64.3,61.2,82.4,108.5,2.66,0
15,74.1,29.7,31.9,63.4,58.4,83.0,110.0,2.56,1
16,72.4,29.7,30.9,63.1,56.6,82.5,109.2,2.54,0
17,70.4,28.9,30.1,67.6,54.6,78.5,110.2,2.36,0
18,70.3,29.4,29.4,68.7,53.1,82.4,108.9,2.21,0
19,69.6,28.3,30.7,72.4,50.5,81.6,108.1,2.27,0
20,68.4,28.5,28.3,69.7,53.2,82.4,106.1,2.26,0
21,67.5,28.2,26.9,75.0,52.6,86.4,103.3,2.34,0
22,65.5,28.0,26.5,74.5,53.3,84.7,103.6,2.29,0
23,64.9,26.6,26.8,75.1,52.4,85.8,100.8,2.3,0
0,63.7,27.6,24.8,78.3,53.7,86.0,101.8,2.26,0
